,id,slug,path,scraped
78,7463028,seamless-watercolor-larger-leaves-pattern-1-by-daily_miracles,/en/fabric/7463028-seamless-watercolor-larger-leaves-pattern-1-by-daily_miracles,1
79,2623792,purple-space-stars-small-print-by-inspirationz,/en/fabric/2623792-purple-space-stars-small-print-by-inspirationz,1
80,5131007,scandinavian-sweet-hedgehog-illustration-kids-gender-neutral-black-white-by-littlesmilemakers,/en/fabric/5131007-scandinavian-sweet-hedgehog-illustration-kids-gender-neutral-black-white-by-littlesmilemakers,0
81,7984649,8-love-care-medical-black-by-rebelmod,/en/fabric/7984649-8-love-care-medical-black-by-rebelmod,0
82,6444170,catching-fireflies-by-thestorysmith,/en/fabric/6444170-catching-fireflies-by-thestorysmith,0
83,7685381,dragon-fire-by-adenaj,/en/fabric/7685381-dragon-fire-by-adenaj,0
84,7776919,spectacle-large-scale-by-heatherdutton,/en/fabric/7776919-spectacle-large-scale-by-heatherdutton,0
85,3840601,nurse-medical-theme-teal-by-hot4tees_bg-yahoo_com,/en/fabric/3840601-nurse-medical-theme-teal-by-hot4tees_bg-yahoo_com,0
86,254642,stained-glass-rose-windows-by-sammyk,/en/fabric/254642-stained-glass-rose-windows-by-sammyk,0
87,7469226,ride-win-by-ameemax,/en/fabric/7469226-ride-win-by-ameemax,0
88,5368780,oh-hue-manatee-updated-by-actuallycharming,/en/fabric/5368780-oh-hue-manatee-updated-by-actuallycharming,0
89,9155687,galaxy-deep-space-seamless-thousands-stars-starry-night-sky-by-rebecca_reck_art,/en/fabric/9155687-galaxy-deep-space-seamless-thousands-stars-starry-night-sky-by-rebecca_reck_art,0
90,5577547,tiny-dinos-blue-green-on-white-large-print-by-micklyn,/en/fabric/5577547-tiny-dinos-blue-green-on-white-large-print-by-micklyn,0
91,7254933,constellations-white-stars-navy-blue-background-by-emeryallardsmith,/en/fabric/7254933-constellations-white-stars-navy-blue-background-by-emeryallardsmith,0
92,7872207,art-deco-cranes-by-katerhees,/en/fabric/7872207-art-deco-cranes-by-katerhees,0
93,6505652,corgi-scrubs-fabric-operating-room-dog-fabric-dog-fabric-navy-by-petfriendly,/en/fabric/6505652-corgi-scrubs-fabric-operating-room-dog-fabric-dog-fabric-navy-by-petfriendly,0
94,4784529,adventure-awaits-earth-regular-by-nouveau_bohemian,/en/fabric/4784529-adventure-awaits-earth-regular-by-nouveau_bohemian,0
95,6126338,indy-bloom-blush-florals-blue-b-by-indybloomdesign,/en/fabric/6126338-indy-bloom-blush-florals-blue-b-by-indybloomdesign,0
96,3667891,mexican-sugar-skulls-extra-small-by-lusykoror,/en/fabric/3667891-mexican-sugar-skulls-extra-small-by-lusykoror,0
97,9903990,office-quotes-by-allieclark1,/en/fabric/9903990-office-quotes-by-allieclark1,0
98,7670507,autism-awareness-watercolor-splatter-fabric-w-puzzle-piece-black-c18bs-by-littlearrowdesign,/en/fabric/7670507-autism-awareness-watercolor-splatter-fabric-w-puzzle-piece-black-c18bs-by-littlearrowdesign,0
99,5822747,black-white-haunted-occult-by-xoxotique,/en/fabric/5822747-black-white-haunted-occult-by-xoxotique,0
100,6219306,doctor-medical-fabric-by-littlearrowdesign,/en/fabric/6219306-doctor-medical-fabric-by-littlearrowdesign,0
