id,slug,path,scraped
7463028,seamless-watercolor-larger-leaves-pattern-1-by-daily_miracles,/en/fabric/7463028-seamless-watercolor-larger-leaves-pattern-1-by-daily_miracles,0
4995362,heart-health-awareness-black-by-ohdarkthirty,/en/fabric/4995362-heart-health-awareness-black-by-ohdarkthirty,0
4830872,cherry-blossom-watercolor-cherry-blossom-floral-by-magentarosedesigns,/en/fabric/4830872-cherry-blossom-watercolor-cherry-blossom-floral-by-magentarosedesigns,0
1112778,rosie-riveter-by-spacefem,/en/fabric/1112778-rosie-riveter-by-spacefem,0
6852245,cute-nurse-love-black-no-gradient-by-jannasalak,/en/fabric/6852245-cute-nurse-love-black-no-gradient-by-jannasalak,0
2920223,m81-woodland-camo-by-ricraynor,/en/fabric/2920223-m81-woodland-camo-by-ricraynor,0
6864327,love-lips-red-by-hipkiddesigns,/en/fabric/6864327-love-lips-red-by-hipkiddesigns,0
5700186,puzzle-hearts-by-designedbygeeks,/en/fabric/5700186-puzzle-hearts-by-designedbygeeks,0
4981816,black-white-dogs-by-littleislandcompany,/en/fabric/4981816-black-white-dogs-by-littleislandcompany,0
9453318,african-american-girls-retro-pop-art-by-whimsical_brush,/en/fabric/9453318-african-american-girls-retro-pop-art-by-whimsical_brush,0
6327300,call-mountains-evergreen-med-by-nouveau_bohemian,/en/fabric/6327300-call-mountains-evergreen-med-by-nouveau_bohemian,0
6263258,navy-blue-watercolor-herringbone-by-laurapol,/en/fabric/6263258-navy-blue-watercolor-herringbone-by-laurapol,0
6715163,8-wild-heart-florals-white-by-shopcabin,/en/fabric/6715163-8-wild-heart-florals-white-by-shopcabin,0
4995555,heart-health-awareness-light-gray-large-by-ohdarkthirty,/en/fabric/4995555-heart-health-awareness-light-gray-large-by-ohdarkthirty,0
